İlçe,Enlem-Boylam
ADALAR,"40,8747 X 29,1294"
ARNAVUTKÖY,"41,1864 X 28,7389"
ATAŞEHIR,"40,9833 X 29,1278"
AVCILAR,"40,9792 X 28,7214"
BAĞCILAR,"41,0341 X 28,8330"
BAHÇELİEVLER,"40,9977 X 28,8506"
BAKIRKÖY,"40,9804 X 28,8724"
BAŞAKŞEHİR,"41,0837 X 28,8169"
BAYRAMPAŞA,"41,0349 X 28,9122"
BEŞİKTAŞ,"41,0441 X 29,0017"
BEYKOZ,"41,1271 X 29,0978"
BEYLİKDÜZÜ,"41,0133 X 28,6489"
BEYOĞLU,"41,0371 X 28,9774"
BÜYÜKÇEKMECE,"41,0248 X 28,5854"
ÇATALCA,"41,1421 X 28,4575"
ÇEKMEKÖY,"41,0323 X 29,1695"
ESENLER,"41,0542 X 28,8676"
ESENYURT,"41,0412 X 28,6939"
EYÜP,"41,0551 X 28,9346"
FATİH,"41,0203 X 28,9339"
GAZİOSMANPAŞA,"41,0576 X 28,9153"
GÜNGÖREN,"41,0105 X 28,8741"
KADIKÖY,"40,9903 X 29,0205"
KAĞITHANE,"41,0717 X 28,9646"
KARTAL,"40,8999 X 29,1936"
KÜÇÜKÇEKMECE,"41,0092 X 28,7757"
MALTEPE,"40,9339 X 29,1650"
PENDİK,"40,8796 X 29,2580"
SANCAKTEPE,"41,0090 X 29,2109"
SARIYER,"41,1664 X 29,0500"
SİLİVRİ,"41,0737 X 28,2479"
SULTANBEYLİ,"40,9684 X 29,2620"
SULTANGAZİ,"41,1070 X 28,8714"
ŞİLE,"41,1749 X 29,6096"
ŞİŞLİ,"41,0604 X 28,9878"
TUZLA,"40,8144 X 29,3094"
ÜMRANİYE,"41,0338 X 29,1013"
ÜSKÜDAR,"41,0327 X 29,0319"
ZEYTİNBURNU,"40,9910 X 28,8968"
